image_name,scale,center_w,center_h,tad_1_x,tad_1_y,tad_2_x,tad_2_y,apad_1_x,apad_1_y,apad_2_x,apad_2_y,px_to_mm_rate,mm_dist,Algo,SubjectID,Split
024_4AC.jpeg,2.192095588,477.0,329.0,500,526,616,144,355,270,761,417,0.184,,,,Train
024_5AC.jpeg,2.192095588,477.0,329.0,448,161,684,487,710,199,399,439,0.261865794,,,,Train
027_AC.jpeg,2.192095588,477.0,329.0,527,69,533,516,743,262,304,257,0.22727272699999998,,,,Train
028_2AC.jpeg,2.610294118,568.0,394.5,616,175,555,719,819,473,288,311,0.191798942,,,,Train
028_3AC.jpeg,2.610294118,568.0,393.0,715,206,488,697,834,555,383,270,0.191798942,,,,Train
028_4AC.jpeg,2.192095588,477.0,329.0,338,498,471,139,233,240,616,396,0.3125,,,,Train
028_5AC.jpeg,2.192095588,477.0,329.0,426,480,566,47,295,135,735,342,0.254237288,,,,Train
028_6AC.jpeg,2.192095588,477.0,329.0,298,452,530,60,218,135,627,387,0.254237288,,,,Train
029_AC.jpeg,2.610294118,568.0,394.5,583,520,453,284,384,461,627,332,0.176651306,,,,Train
029_2AC.jpeg,2.192095588,477.0,329.0,422,616,334,164,138,420,633,344,0.172413793,,,,Train
029_3AC.jpeg,2.192095588,477.0,329.0,522,564,468,157,289,396,731,328,0.212765957,,,,Train
030_AC.jpeg,2.192095588,477.0,329.0,474,116,478,557,707,298,246,356,0.22727272699999998,,,,Train
030_2AC.jpeg,2.192095588,477.0,329.0,454,134,472,536,694,344,263,340,0.22727272699999998,,,,Train
030_3AC.jpeg,2.192095588,477.0,329.0,438,92,511,456,661,234,276,331,0.304259635,,,,Train
030_4AC.jpeg,2.192095588,477.0,329.0,321,78,463,525,629,202,167,364,0.227670753,,,,Train
030_5AC.jpeg,2.192095588,477.0,329.0,531,125,422,438,667,334,294,223,0.304259635,,,,Train
102_AC.jpeg,2.660845588,579.0,391.0,646,543,630,228,467,381,833,373,0.143061516,,,,Train
102_2AC.jpeg,2.660845588,579.0,384.5,645,542,623,226,477,375,833,362,0.143061516,,,,Train
105_AC.jpeg,2.702205882,588.0,398.5,749,318,372,641,767,640,340,344,0.09219858199999999,,,,Train
105_2AC.jpeg,2.702205882,588.0,402.5,758,319,368,643,767,644,339,345,0.09219858199999999,,,,Train
105_3AC.jpeg,2.702205882,588.0,389.0,748,621,525,334,454,569,787,402,0.116129032,,,,Train
106_AC.jpeg,2.711397059,590.0,400.5,531,117,604,549,828,263,370,374,0.118110236,,,,Train
106_2AC.jpeg,2.711397059,590.0,396.0,534,115,603,551,822,261,369,368,0.118110236,,,,Train
107_AC.jpeg,2.711397059,590.0,396.0,669,676,650,97,316,403,934,424,0.080213904,,,,Train
107_2AC.jpeg,2.711397059,590.0,393.5,666,677,650,98,314,405,927,420,0.080213904,,,,Train
111_AC.jpeg,2.619485294,570.0,393.0,517,542,486,240,345,416,687,378,0.146579805,,,,Train
111_2AC.jpeg,2.619485294,570.0,391.0,508,535,483,240,344,415,687,375,0.146579805,,,,Train
112_AC.jpeg,2.619485294,570.0,393.0,516,451,591,61,311,219,728,283,0.10869565199999999,,,,Train
112_2AC.jpeg,2.619485294,570.0,390.0,513,448,588,61,310,217,727,282,0.10869565199999999,,,,Train
113_AC.jpeg,2.578125,561.0,387.5,661,526,416,160,367,444,726,196,0.10416666699999999,,,,Train
113_2AC.jpeg,2.578125,561.0,386.0,660,527,412,158,367,441,722,193,0.10273972599999999,,,,Train
113_3AC.jpeg,2.578125,561.0,391.5,229,473,430,172,196,225,469,409,0.133928571,,,,Train
113_4AC.jpeg,2.578125,561.0,389.5,227,473,430,167,191,222,468,407,0.133928571,,,,Train
114_AC.jpeg,2.614889706,569.0,414.5,522,455,413,259,373,417,573,282,0.21479713600000008,,,,Train
114_2AC.jpeg,2.614889706,569.0,420.0,520,471,390,227,334,413,581,268,0.17994858600000002,,,,Train
114_3AC.jpeg,2.614889706,569.0,404.0,639,564,626,175,447,344,842,337,0.127504554,,,,Train
114_4AC.jpeg,2.614889706,569.0,395.5,634,563,624,176,440,340,846,335,0.127504554,,,,Train
121_AC.jpeg,2.614889706,569.0,405.5,563,243,577,624,756,322,414,552,0.13452914800000002,,,,Train
121_2AC.jpeg,2.614889706,569.0,388.0,527,241,558,651,748,434,354,445,0.134228188,,,,Train
121_3AC.jpeg,2.614889706,569.0,393.5,526,244,551,646,747,435,352,447,0.134228188,,,,Train
123_AC.jpeg,2.605698529,567.0,397.0,475,592,524,8,222,297,834,309,0.081967213,,,,Train
123_2AC.jpeg,2.605698529,567.0,392.5,471,603,471,32,184,330,784,341,0.08038585200000001,,,,Train
123_3AC.jpeg,2.605698529,567.0,392.5,472,605,497,43,185,313,794,322,0.080213904,,,,Train
125_3AC.jpeg,2.095588235,456.0,313.5,457,103,564,412,666,205,374,344,0.01650165,,,,Train
125_4AC.jpeg,2.095588235,456.0,312.0,454,99,558,419,664,203,374,341,0.01650165,,,,Train
125_5AC.jpeg,2.095588235,456.0,315.0,414,135,555,437,621,214,357,382,0.021231423,,,,Train
201_AC.jpeg,2.624080882,571.0,399.5,725,591,506,135,341,445,884,266,0.090361446,,,,Train
201_2AC.jpeg,2.653952206,577.5,395.0,741,588,521,128,357,432,905,253,0.09029345400000001,,,,Train
202_AC.jpeg,2.690716912,585.5,386.5,562,579,589,45,317,310,908,319,0.084985836,,,,Train
202_2AC.jpeg,2.683823529,584.0,396.0,567,595,592,49,307,319,908,337,0.084985836,,,,Train
205_AC.jpeg,2.660845588,579.0,394.0,356,239,964,473,782,109,551,663,0.079575597,,,,Train
205_2AC.jpeg,2.690716912,585.5,399.0,968,479,354,239,562,676,793,117,0.079575597,,,,Train
207_AC.jpeg,2.690716912,585.5,390.0,709,452,619,142,542,349,814,227,0.143678161,,,,Train
207_2AC.jpeg,2.7251838239999997,593.0,399.5,731,445,643,128,564,330,844,216,0.143678161,,,,Train
208_AC.jpeg,2.709099265,589.5,393.5,444,185,521,536,694,308,326,374,0.133079848,,,,Train
208_2AC.jpeg,2.690716912,585.5,391.5,435,178,522,530,693,304,318,366,0.133079848,,,,Train
009_3AC.jpeg,2.2058823530000002,480.0,360.0,470,451,487,224,354,309,592,329,0.23148148100000002,,,,Test
005_4AC.jpeg,2.2058823530000002,480.0,360.0,530,461,484,135,340,311,666,275,0.143737166,,,,Test
006_2AC.jpeg,2.2058823530000002,480.0,360.0,422,630,459,182,195,364,696,441,0.13803681,,,,Test
006_3AC.jpeg,2.2058823530000002,480.0,360.0,452,656,448,134,152,360,743,385,0.116959064,,,,Test
007_2AC.jpeg,2.2058823530000002,480.0,360.0,555,170,388,653,731,483,217,313,0.145547945,,,,Test
004_AC.jpg,2.2058823530000002,480.0,360.0,481,464,591,246,436,300,649,409,0.211726384,,,,Test
005_AC.jpg,2.2058823530000002,480.0,360.0,366,530,605,140,266,211,640,441,0.139146568,,,,Test
005_2AC.jpeg,2.2588235294117647,480.0,360.0,358,115,383,644,653,359,108,414,0.115248227,,,,Test
005_3AC.jpeg,2.2058823530000002,480.0,360.0,408,311,528,555,601,357,349,507,0.26666666699999997,,,,Test
005_6AC.jpeg,2.2058823530000002,480.0,360.0,476,249,634,558,694,325,401,483,0.21126760600000002,,,,Test
005_7AC.jpeg,2.2058823530000002,480.0,360.0,535,548,569,203,339,315,718,384,0.21126760600000002,,,,Test
005_8AC.jpeg,2.2058823530000002,480.0,360.0,536,548,570,205,341,316,718,384,0.21126760600000002,,,,Test
005_9AC.jpeg,2.2058823530000002,480.0,360.0,486,592,564,242,334,338,698,486,0.21126760600000002,,,,Test
005_10AC.jpeg,2.610294118,568.0,426.0,438,656,592,177,263,286,774,490,0.164285714,,,,Test
005_11AC.jpeg,2.610294118,568.0,426.0,445,729,584,134,228,317,799,522,0.143603133,,,,Test
005_12AC.jpeg,2.610294118,568.0,426.0,308,232,809,448,706,132,455,600,0.17265193399999998,,,,Test
005_13AC.jpeg,2.2058823530000002,480.0,360.0,424,303,585,555,636,334,380,495,0.26666666699999997,,,,Test
005_14AC.jpeg,2.2058823530000002,480.0,360.0,425,301,586,554,638,333,375,496,0.26666666699999997,,,,Test
006_AC.jpeg,2.2058823530000002,480.0,360.0,490,672,387,198,218,493,684,418,0.134575569,,,,Test
007_AC.jpeg,2.2058823530000002,480.0,360.0,489,655,511,185,218,417,713,432,0.197594502,,,,Test
009_AC.jpeg,2.2058823530000002,480.0,360.0,575,545,523,292,423,400,678,401,0.21126760600000002,,,,Test
009_2AC.jpeg,2.2058823530000002,480.0,360.0,583,546,532,283,419,403,686,395,0.21126760600000002,,,,Test
